ip_address,country,region,isp,is_vpn,is_tor,reputation_score,first_seen,last_seen
7.6.111.110,Country_5,Region_10,ISP_15,False,False,0.9311245273083593,2025-09-07,2025-09-23
93.184.198.148,Country_47,Region_15,ISP_72,True,False,0.7918304115682621,2025-06-10,2025-09-23
244.57.159.142,Country_45,Region_13,ISP_82,False,False,0.5734552114312292,2025-05-06,2025-09-23
59.87.8.106,Country_33,Region_13,ISP_72,False,False,0.6199878362838213,2024-11-15,2025-09-23
145.121.209.5,Country_5,Region_13,ISP_59,False,False,0.8300727494996536,2025-01-30,2025-09-23
2.207.247.156,Country_28,Region_5,ISP_17,False,False,0.8473078093205305,2025-04-01,2025-09-23
29.254.212.141,Country_38,Region_2,ISP_66,False,False,0.8351437959816072,2024-10-28,2025-09-23
58.252.155.179,Country_39,Region_15,ISP_26,False,False,0.9373051609192043,2025-04-13,2025-09-23
204.217.19.35,Country_15,Region_2,ISP_19,False,False,0.6852982844475454,2025-09-01,2025-09-23
87.24.200.180,Country_24,Region_14,ISP_23,False,False,0.9271879368214764,2025-08-07,2025-09-23
136.97.213.102,Country_30,Region_11,ISP_66,False,False,0.7938687409658365,2025-03-27,2025-09-23
69.122.236.35,Country_18,Region_9,ISP_57,False,False,0.9922250430916686,2024-11-22,2025-09-23
9.139.252.177,Country_37,Region_19,ISP_95,False,False,0.8005943417383506,2024-11-25,2025-09-23
100.31.157.196,Country_37,Region_18,ISP_43,False,False,0.9038484160794124,2025-06-25,2025-09-23
198.221.225.171,Country_11,Region_18,ISP_72,False,False,0.9060399942805438,2024-10-06,2025-09-23
90.127.54.212,Country_17,Region_16,ISP_8,False,False,0.9475146810418107,2025-04-20,2025-09-23
38.140.7.147,Country_40,Region_11,ISP_96,False,False,0.7601969678411158,2025-08-21,2025-09-23
180.182.185.132,Country_9,Region_9,ISP_35,False,False,0.6798833117018184,2024-12-17,2025-09-23
108.226.27.6,Country_4,Region_8,ISP_37,False,False,0.8235993054317496,2024-09-29,2025-09-23
25.234.247.44,Country_6,Region_19,ISP_96,False,False,0.9108377689686221,2025-08-24,2025-09-23
184.72.4.123,Country_1,Region_1,ISP_85,False,False,0.7402169831223685,2025-08-22,2025-09-23
100.245.227.126,Country_33,Region_5,ISP_26,False,False,0.7860154122516612,2024-12-29,2025-09-23
182.98.132.75,Country_39,Region_16,ISP_96,False,False,0.8036644353992806,2025-03-17,2025-09-23
220.78.30.37,Country_1,Region_7,ISP_90,False,False,0.9163707641417388,2025-06-10,2025-09-23
144.75.114.126,Country_31,Region_11,ISP_14,False,False,0.9348594720784456,2025-02-18,2025-09-23
91.221.77.1,Country_46,Region_7,ISP_30,False,False,0.8218490230299902,2025-09-13,2025-09-23
74.161.49.173,Country_24,Region_18,ISP_89,False,False,0.8716441073871154,2025-02-27,2025-09-23
14.200.151.250,Country_24,Region_18,ISP_64,False,False,0.8250312413323823,2024-12-07,2025-09-23
127.35.45.174,Country_24,Region_6,ISP_59,False,False,0.6461403480447796,2024-12-17,2025-09-23
243.216.60.112,Country_35,Region_4,ISP_47,False,False,0.5402580559856498,2025-07-12,2025-09-23
151.223.148.196,Country_35,Region_18,ISP_66,True,False,0.878543102859389,2025-07-06,2025-09-23
246.81.167.40,Country_41,Region_14,ISP_41,False,False,0.9591677369550903,2024-12-30,2025-09-23
60.162.159.118,Country_14,Region_3,ISP_31,False,False,0.6173546350575184,2025-07-21,2025-09-23
196.208.62.234,Country_8,Region_15,ISP_80,False,False,0.8289971722643333,2025-08-22,2025-09-23
138.33.188.102,Country_20,Region_19,ISP_80,False,False,0.8396238892426867,2024-11-12,2025-09-23
254.127.114.124,Country_45,Region_10,ISP_25,False,False,0.9006970345041694,2025-02-13,2025-09-23
192.172.16.1,Country_33,Region_11,ISP_95,False,False,0.769623580072479,2024-10-21,2025-09-23
103.67.28.158,Country_5,Region_18,ISP_64,False,False,0.7788025128881884,2025-08-14,2025-09-23
251.17.203.206,Country_25,Region_7,ISP_78,False,False,0.9074771188717655,2025-08-29,2025-09-23
212.112.248.142,Country_16,Region_15,ISP_51,False,False,0.9273795580087523,2024-11-18,2025-09-23
77.64.90.155,Country_11,Region_9,ISP_1,False,False,0.8252389671535065,2025-02-04,2025-09-23
60.142.239.199,Country_45,Region_6,ISP_17,False,False,0.9648426167461724,2025-07-08,2025-09-23
217.169.235.3,Country_33,Region_7,ISP_97,False,False,0.8276917206117521,2025-07-12,2025-09-23
98.138.73.162,Country_45,Region_18,ISP_58,False,False,0.9275871510126574,2025-04-21,2025-09-23
213.170.165.14,Country_14,Region_15,ISP_14,False,False,0.8687306007697841,2025-05-24,2025-09-23
240.189.190.221,Country_41,Region_9,ISP_23,False,False,0.7357542955440722,2024-12-11,2025-09-23
209.56.91.64,Country_39,Region_4,ISP_76,True,False,0.8029187305991089,2025-01-09,2025-09-23
152.245.28.33,Country_11,Region_16,ISP_59,True,False,0.887470741524247,2024-12-20,2025-09-23
42.14.194.245,Country_8,Region_2,ISP_45,False,False,0.9713867687656448,2025-05-09,2025-09-23
31.121.247.87,Country_3,Region_2,ISP_76,True,False,0.8635800432667013,2025-03-21,2025-09-23
63.225.107.96,Country_22,Region_13,ISP_87,False,False,0.8062366731183015,2024-09-24,2025-09-23
226.105.171.50,Country_29,Region_14,ISP_93,False,False,0.870143897565544,2024-10-09,2025-09-23
121.160.155.109,Country_13,Region_14,ISP_27,False,False,0.816198947050413,2025-04-26,2025-09-23
